,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsBeforeCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyRateGroups,HourlyRateGroups,MonthlyIncomeGroups,MonthlyRateGroups,TotalWorkingYearsGroups,YearsAtCompanyGroups,AgeGroups,YearsBeforeCompanyGroups
320,27,No,Travel_Rarely,1377,Sales,2,Bachelor,Life Sciences,1,437,4,Male,74,3,Junior,Sales Executive,3,Single,4478,5242,1,Y,Yes,11,3,1,80,0,5,3,3,5,0,4,0,4,M - 1300 => 1400,G - 70 => 80,D - 4000 => 5000,E - 5000 => 6000,C - 4 => 5 Years,C - 4 => 5 Years,C - 26 => 30 Years,B - 2 => 3 Years
321,31,No,Travel_Rarely,691,Sales,7,Bachelor,Marketing,1,438,4,Male,73,3,Junior,Sales Executive,4,Divorced,7547,7143,4,Y,No,12,3,4,80,3,13,3,3,7,6,7,1,7,F - 600 => 700,G - 70 => 80,G - 7000 => 8000,G - 7000 => 8000,E - 11 => 15 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
322,32,No,Travel_Rarely,1018,Research & Development,2,Master,Medical,1,439,1,Female,74,4,Junior,Research Scientist,4,Single,5055,10557,7,Y,No,16,3,3,80,0,10,0,2,7,3,7,0,7,J - 1000 => 1100,G - 70 => 80,E - 5000 => 6000,J - 10000 => 11000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
323,28,Yes,Travel_Rarely,1157,Research & Development,2,Master,Medical,1,440,1,Male,84,1,Entry Level,Research Scientist,4,Married,3464,24737,5,Y,Yes,13,3,4,80,0,5,4,2,3,2,2,2,2,K - 1100 => 1200,H - 80 => 90,C - 3000 => 4000,X - 24000 => 25000,C - 4 => 5 Years,B - 2 => 3 Years,C - 26 => 30 Years,B - 2 => 3 Years
324,30,No,Travel_Rarely,1275,Research & Development,28,College,Medical,1,441,4,Female,64,3,Junior,Research Scientist,4,Married,5775,11934,1,Y,No,13,3,4,80,2,11,2,3,10,1,8,1,9,L - 1200 => 1300,F - 60 => 70,E - 5000 => 6000,K - 11000 => 12000,E - 11 => 15 Years,D - 6 => 10 Years,C - 26 => 30 Years,B - 2 => 3 Years
325,31,No,Travel_Frequently,798,Research & Development,7,College,Life Sciences,1,442,3,Female,48,2,Mid-Level,Manufacturing Director,3,Married,8943,14034,1,Y,No,24,4,1,80,1,10,2,3,10,0,9,8,9,G - 700 => 800,D - 40 => 50,H - 8000 => 9000,N - 14000 => 15000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
326,39,No,Travel_Frequently,672,Research & Development,7,College,Medical,1,444,3,Male,54,2,Expert,Manager,4,Married,19272,21141,1,Y,No,15,3,1,80,1,21,2,3,21,0,9,13,3,F - 600 => 700,E - 50 => 60,S - 19000 => 20000,U - 21000 => 22000,G - 21 => 25 Years,G - 21 => 25 Years,D - 31 => 40 Years,B - 2 => 3 Years
327,39,Yes,Travel_Rarely,1162,Sales,3,College,Medical,1,445,4,Female,41,3,Junior,Sales Executive,3,Married,5238,17778,4,Y,Yes,18,3,1,80,0,12,3,2,1,11,0,0,0,K - 1100 => 1200,D - 40 => 50,E - 5000 => 6000,Q - 17000 => 18000,E - 11 => 15 Years,A - 0 => 1 Year,D - 31 => 40 Years,B - 2 => 3 Years
328,33,No,Travel_Frequently,508,Sales,10,Bachelor,Marketing,1,446,2,Male,46,2,Junior,Sales Executive,4,Single,4682,4317,3,Y,No,14,3,3,80,0,9,6,2,7,2,7,0,1,E - 500 => 600,D - 40 => 50,D - 4000 => 5000,D - 4000 => 5000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
329,47,No,Travel_Rarely,1482,Research & Development,5,PHD,Life Sciences,1,447,4,Male,42,3,Expert,Research Director,3,Married,18300,16375,4,Y,No,11,3,2,80,1,21,2,3,3,18,2,1,1,N - 1400 => 1500,D - 40 => 50,R - 18000 => 19000,P - 16000 => 17000,G - 21 => 25 Years,B - 2 => 3 Years,E - 41 => 50 Years,B - 2 => 3 Years
330,43,No,Travel_Frequently,559,Research & Development,10,Master,Life Sciences,1,448,3,Female,82,2,Junior,Laboratory Technician,3,Divorced,5257,6227,1,Y,No,11,3,2,80,1,9,3,4,9,0,7,0,0,E - 500 => 600,H - 80 => 90,E - 5000 => 6000,F - 6000 => 7000,D - 6 => 10 Years,D - 6 => 10 Years,E - 41 => 50 Years,B - 2 => 3 Years
331,27,No,Non-Travel,210,Sales,1,Below College ,Marketing,1,449,3,Male,73,3,Junior,Sales Executive,2,Married,6349,22107,0,Y,Yes,13,3,4,80,1,6,0,3,5,1,4,1,4,B - 200 => 300,G - 70 => 80,F - 6000 => 7000,V - 22000 => 23000,D - 6 => 10 Years,C - 4 => 5 Years,C - 26 => 30 Years,B - 2 => 3 Years
332,54,No,Travel_Frequently,928,Research & Development,20,Master,Life Sciences,1,450,4,Female,31,3,Junior,Research Scientist,3,Single,4869,16885,3,Y,No,12,3,4,80,0,20,4,2,4,16,3,0,3,I - 900 => 1000,C - 30 => 40,D - 4000 => 5000,P - 16000 => 17000,F - 16 => 20 Years,C - 4 => 5 Years,F - 51 => 60 Years,B - 2 => 3 Years
333,43,No,Travel_Rarely,1001,Research & Development,7,Bachelor,Life Sciences,1,451,3,Female,43,3,Mid-Level,Healthcare Representative,1,Married,9985,9262,8,Y,No,16,3,1,80,1,10,1,2,1,9,0,0,0,J - 1000 => 1100,D - 40 => 50,I - 9000 => 10000,I - 9000 => 10000,D - 6 => 10 Years,A - 0 => 1 Year,E - 41 => 50 Years,B - 2 => 3 Years
334,45,No,Travel_Rarely,549,Research & Development,8,Master,Other,1,452,4,Male,75,3,Junior,Research Scientist,4,Married,3697,9278,9,Y,No,14,3,1,80,2,12,3,3,10,2,9,9,8,E - 500 => 600,G - 70 => 80,C - 3000 => 4000,I - 9000 => 10000,E - 11 => 15 Years,D - 6 => 10 Years,E - 41 => 50 Years,B - 2 => 3 Years
335,40,No,Travel_Rarely,1124,Sales,1,College,Medical,1,453,2,Male,57,1,Junior,Sales Executive,4,Married,7457,13273,2,Y,Yes,22,4,3,80,3,6,2,2,4,2,3,0,2,K - 1100 => 1200,E - 50 => 60,G - 7000 => 8000,M - 13000 => 14000,D - 6 => 10 Years,C - 4 => 5 Years,D - 31 => 40 Years,B - 2 => 3 Years
336,29,Yes,Travel_Rarely,318,Research & Development,8,Master,Other,1,454,2,Male,77,1,Entry Level,Laboratory Technician,1,Married,2119,4759,1,Y,Yes,11,3,4,80,0,7,4,2,7,0,7,0,7,C - 300 => 400,G - 70 => 80,B - 2000 => 3000,D - 4000 => 5000,D - 6 => 10 Years,D - 6 => 10 Years,C - 26 => 30 Years,B - 2 => 3 Years
337,29,No,Travel_Rarely,738,Research & Development,9,PHD,Other,1,455,2,Male,30,2,Entry Level,Laboratory Technician,4,Single,3983,7621,0,Y,No,17,3,3,80,0,4,2,3,3,1,2,2,2,G - 700 => 800,B - 20 => 30,C - 3000 => 4000,G - 7000 => 8000,C - 4 => 5 Years,B - 2 => 3 Years,C - 26 => 30 Years,B - 2 => 3 Years
338,30,No,Travel_Rarely,570,Sales,5,Bachelor,Marketing,1,456,4,Female,30,2,Junior,Sales Executive,3,Divorced,6118,5431,1,Y,No,13,3,3,80,3,10,2,3,10,0,9,1,2,E - 500 => 600,B - 20 => 30,F - 6000 => 7000,E - 5000 => 6000,D - 6 => 10 Years,D - 6 => 10 Years,C - 26 => 30 Years,B - 2 => 3 Years
339,27,No,Travel_Rarely,1130,Sales,8,Master,Marketing,1,458,2,Female,56,3,Junior,Sales Executive,2,Married,6214,3415,1,Y,No,18,3,1,80,1,8,3,3,8,0,7,0,7,K - 1100 => 1200,E - 50 => 60,F - 6000 => 7000,C - 3000 => 4000,D - 6 => 10 Years,D - 6 => 10 Years,C - 26 => 30 Years,B - 2 => 3 Years
340,37,No,Travel_Rarely,1192,Research & Development,5,College,Medical,1,460,4,Male,61,3,Junior,Manufacturing Director,4,Divorced,6347,23177,7,Y,No,16,3,3,80,2,8,2,2,6,2,2,0,4,K - 1100 => 1200,F - 60 => 70,F - 6000 => 7000,W - 23000 => 24000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
341,38,No,Travel_Rarely,343,Research & Development,15,College,Life Sciences,1,461,3,Male,92,2,Mid-Level,Research Director,4,Divorced,11510,15682,0,Y,Yes,14,3,2,80,1,12,3,3,11,1,10,2,9,C - 300 => 400,I - 90 => 100,K - 11000 => 12000,O - 15000 => 16000,E - 11 => 15 Years,E - 11 => 15 Years,D - 31 => 40 Years,B - 2 => 3 Years
342,31,No,Travel_Rarely,1232,Research & Development,7,Master,Medical,1,462,3,Female,39,3,Mid-Level,Manufacturing Director,4,Single,7143,25713,1,Y,Yes,14,3,3,80,0,11,2,2,11,0,9,4,10,L - 1200 => 1300,C - 30 => 40,G - 7000 => 8000,Y - 25000 => 26000,E - 11 => 15 Years,E - 11 => 15 Years,D - 31 => 40 Years,B - 2 => 3 Years
343,29,No,Travel_Rarely,144,Sales,10,Below College ,Marketing,1,463,4,Female,39,2,Junior,Sales Executive,2,Divorced,8268,11866,1,Y,Yes,14,3,1,80,2,7,2,3,7,0,7,1,7,A - 100 => 200,C - 30 => 40,H - 8000 => 9000,K - 11000 => 12000,D - 6 => 10 Years,D - 6 => 10 Years,C - 26 => 30 Years,B - 2 => 3 Years
344,35,No,Travel_Rarely,1296,Research & Development,5,Master,Technical Degree,1,464,3,Male,62,3,Mid-Level,Manufacturing Director,2,Single,8095,18264,0,Y,No,13,3,4,80,0,17,5,3,16,1,6,0,13,L - 1200 => 1300,F - 60 => 70,H - 8000 => 9000,R - 18000 => 19000,F - 16 => 20 Years,F - 16 => 20 Years,D - 31 => 40 Years,B - 2 => 3 Years
345,23,No,Travel_Rarely,1309,Research & Development,26,Below College ,Life Sciences,1,465,3,Male,83,3,Entry Level,Research Scientist,4,Divorced,2904,16092,1,Y,No,12,3,3,80,2,4,2,2,4,0,2,0,2,M - 1300 => 1400,H - 80 => 90,B - 2000 => 3000,P - 16000 => 17000,C - 4 => 5 Years,C - 4 => 5 Years,B - 22 => 25 Years,B - 2 => 3 Years
346,41,No,Travel_Rarely,483,Research & Development,6,Bachelor,Medical,1,466,4,Male,95,2,Junior,Manufacturing Director,2,Single,6032,10110,6,Y,Yes,15,3,4,80,0,8,3,3,5,3,4,1,2,D - 400 => 500,I - 90 => 100,F - 6000 => 7000,J - 10000 => 11000,D - 6 => 10 Years,C - 4 => 5 Years,E - 41 => 50 Years,B - 2 => 3 Years
347,47,No,Travel_Frequently,1309,Sales,4,Below College ,Medical,1,467,2,Male,99,3,Junior,Sales Representative,3,Single,2976,25751,3,Y,No,19,3,1,80,0,5,3,3,0,5,0,0,0,M - 1300 => 1400,I - 90 => 100,B - 2000 => 3000,Y - 25000 => 26000,C - 4 => 5 Years,A - 0 => 1 Year,E - 41 => 50 Years,B - 2 => 3 Years
348,42,No,Travel_Rarely,810,Research & Development,23,PHD,Life Sciences,1,468,1,Female,44,3,Senior,Research Director,4,Single,15992,15901,2,Y,No,14,3,2,80,0,16,2,3,1,15,0,0,0,H - 800 => 900,D - 40 => 50,O - 15000 => 16000,O - 15000 => 16000,F - 16 => 20 Years,A - 0 => 1 Year,E - 41 => 50 Years,B - 2 => 3 Years
349,29,No,Non-Travel,746,Sales,2,Bachelor,Life Sciences,1,469,4,Male,61,3,Junior,Sales Executive,3,Married,4649,16928,1,Y,No,14,3,1,80,1,4,3,2,4,0,3,0,2,G - 700 => 800,F - 60 => 70,D - 4000 => 5000,P - 16000 => 17000,C - 4 => 5 Years,C - 4 => 5 Years,C - 26 => 30 Years,B - 2 => 3 Years
350,42,No,Travel_Rarely,544,Human Resources,2,Below College ,Technical Degree,1,470,3,Male,52,3,Entry Level,Human Resources,3,Divorced,2696,24017,0,Y,Yes,11,3,3,80,1,4,5,3,3,1,2,1,0,E - 500 => 600,E - 50 => 60,B - 2000 => 3000,X - 24000 => 25000,C - 4 => 5 Years,B - 2 => 3 Years,E - 41 => 50 Years,B - 2 => 3 Years
351,32,No,Travel_Rarely,1062,Research & Development,2,Bachelor,Medical,1,471,3,Female,75,3,Entry Level,Laboratory Technician,2,Married,2370,3956,1,Y,No,13,3,3,80,1,8,4,3,8,0,0,0,7,J - 1000 => 1100,G - 70 => 80,B - 2000 => 3000,C - 3000 => 4000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
352,48,No,Travel_Rarely,530,Sales,29,Below College ,Medical,1,473,1,Female,91,3,Mid-Level,Manager,3,Married,12504,23978,3,Y,No,21,4,2,80,1,15,3,1,0,15,0,0,0,E - 500 => 600,I - 90 => 100,L - 12000 => 13000,W - 23000 => 24000,E - 11 => 15 Years,A - 0 => 1 Year,E - 41 => 50 Years,B - 2 => 3 Years
353,37,No,Travel_Rarely,1319,Research & Development,6,Bachelor,Medical,1,474,3,Male,51,4,Junior,Research Scientist,1,Divorced,5974,17001,4,Y,Yes,13,3,1,80,2,13,2,3,7,6,7,6,7,M - 1300 => 1400,E - 50 => 60,E - 5000 => 6000,Q - 17000 => 18000,E - 11 => 15 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
354,30,No,Non-Travel,641,Sales,25,College,Technical Degree,1,475,4,Female,85,3,Junior,Sales Executive,3,Married,4736,6069,7,Y,Yes,12,3,2,80,1,4,2,4,2,2,2,2,2,F - 600 => 700,H - 80 => 90,D - 4000 => 5000,F - 6000 => 7000,C - 4 => 5 Years,B - 2 => 3 Years,C - 26 => 30 Years,B - 2 => 3 Years
355,26,No,Travel_Rarely,933,Sales,1,Bachelor,Life Sciences,1,476,3,Male,57,3,Junior,Sales Executive,3,Married,5296,20156,1,Y,No,17,3,2,80,1,8,3,3,8,0,7,7,7,I - 900 => 1000,E - 50 => 60,E - 5000 => 6000,T - 20000 => 21000,D - 6 => 10 Years,D - 6 => 10 Years,C - 26 => 30 Years,B - 2 => 3 Years
356,42,No,Travel_Rarely,1332,Research & Development,2,Master,Other,1,477,1,Male,98,2,Junior,Healthcare Representative,4,Single,6781,17078,3,Y,No,23,4,2,80,0,14,6,3,1,13,0,0,0,M - 1300 => 1400,I - 90 => 100,F - 6000 => 7000,Q - 17000 => 18000,E - 11 => 15 Years,A - 0 => 1 Year,E - 41 => 50 Years,B - 2 => 3 Years
357,21,Yes,Travel_Frequently,756,Sales,1,Below College ,Technical Degree,1,478,1,Female,99,2,Entry Level,Sales Representative,2,Single,2174,9150,1,Y,Yes,11,3,3,80,0,3,3,3,3,0,2,1,2,G - 700 => 800,I - 90 => 100,B - 2000 => 3000,I - 9000 => 10000,B - 2 => 3 Years,B - 2 => 3 Years,A - 18 => 21 Years,B - 2 => 3 Years
358,36,No,Non-Travel,845,Sales,1,PHD,Medical,1,479,4,Female,45,3,Junior,Sales Executive,4,Single,6653,15276,4,Y,No,15,3,2,80,0,7,6,3,1,6,0,0,0,H - 800 => 900,D - 40 => 50,F - 6000 => 7000,O - 15000 => 16000,D - 6 => 10 Years,A - 0 => 1 Year,D - 31 => 40 Years,B - 2 => 3 Years
359,36,No,Travel_Frequently,541,Sales,3,Master,Medical,1,481,1,Male,48,2,Mid-Level,Sales Executive,4,Married,9699,7246,4,Y,No,11,3,1,80,1,16,2,3,13,3,9,1,12,E - 500 => 600,D - 40 => 50,I - 9000 => 10000,G - 7000 => 8000,F - 16 => 20 Years,E - 11 => 15 Years,D - 31 => 40 Years,B - 2 => 3 Years
360,57,No,Travel_Rarely,593,Research & Development,1,Master,Medical,1,482,4,Male,88,3,Junior,Healthcare Representative,3,Married,6755,2967,2,Y,No,11,3,3,80,0,15,2,3,3,12,2,1,2,E - 500 => 600,H - 80 => 90,F - 6000 => 7000,B - 2000 => 3000,E - 11 => 15 Years,B - 2 => 3 Years,F - 51 => 60 Years,B - 2 => 3 Years
361,40,No,Travel_Rarely,1171,Research & Development,10,Master,Life Sciences,1,483,4,Female,46,4,Entry Level,Laboratory Technician,3,Married,2213,22495,3,Y,Yes,13,3,3,80,1,10,3,3,7,3,7,1,7,K - 1100 => 1200,D - 40 => 50,B - 2000 => 3000,V - 22000 => 23000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
362,21,No,Non-Travel,895,Sales,9,College,Medical,1,484,1,Male,39,3,Entry Level,Sales Representative,4,Single,2610,2851,1,Y,No,24,4,3,80,0,3,3,2,3,0,2,2,2,H - 800 => 900,C - 30 => 40,B - 2000 => 3000,B - 2000 => 3000,B - 2 => 3 Years,B - 2 => 3 Years,A - 18 => 21 Years,B - 2 => 3 Years
363,33,Yes,Travel_Rarely,350,Sales,5,Bachelor,Marketing,1,485,4,Female,34,3,Entry Level,Sales Representative,3,Single,2851,9150,1,Y,Yes,13,3,2,80,0,1,2,3,1,0,0,0,0,C - 300 => 400,C - 30 => 40,B - 2000 => 3000,I - 9000 => 10000,A - 0 => 1 Year,A - 0 => 1 Year,D - 31 => 40 Years,B - 2 => 3 Years
364,37,No,Travel_Rarely,921,Research & Development,10,Bachelor,Medical,1,486,3,Female,98,3,Entry Level,Laboratory Technician,1,Married,3452,17663,6,Y,No,20,4,2,80,1,17,3,3,5,12,4,0,3,I - 900 => 1000,I - 90 => 100,C - 3000 => 4000,Q - 17000 => 18000,F - 16 => 20 Years,C - 4 => 5 Years,D - 31 => 40 Years,B - 2 => 3 Years
365,46,No,Non-Travel,1144,Research & Development,7,Master,Medical,1,487,3,Female,30,3,Junior,Manufacturing Director,3,Married,5258,16044,2,Y,No,14,3,3,80,0,7,2,4,1,6,0,0,0,K - 1100 => 1200,B - 20 => 30,E - 5000 => 6000,P - 16000 => 17000,D - 6 => 10 Years,A - 0 => 1 Year,E - 41 => 50 Years,B - 2 => 3 Years
366,41,Yes,Travel_Frequently,143,Sales,4,Bachelor,Marketing,1,488,1,Male,56,3,Junior,Sales Executive,2,Single,9355,9558,1,Y,No,18,3,3,80,0,8,5,3,8,0,7,7,7,A - 100 => 200,E - 50 => 60,I - 9000 => 10000,I - 9000 => 10000,D - 6 => 10 Years,D - 6 => 10 Years,E - 41 => 50 Years,B - 2 => 3 Years
367,50,No,Travel_Rarely,1046,Research & Development,10,Bachelor,Technical Degree,1,491,4,Male,100,2,Mid-Level,Healthcare Representative,4,Single,10496,2755,6,Y,No,15,3,4,80,0,20,2,3,4,16,3,1,3,J - 1000 => 1100,I - 90 => 100,J - 10000 => 11000,B - 2000 => 3000,F - 16 => 20 Years,C - 4 => 5 Years,E - 41 => 50 Years,B - 2 => 3 Years
368,40,Yes,Travel_Rarely,575,Sales,22,College,Marketing,1,492,3,Male,68,2,Junior,Sales Executive,3,Married,6380,6110,2,Y,Yes,12,3,1,80,2,8,6,3,6,2,4,1,0,E - 500 => 600,F - 60 => 70,F - 6000 => 7000,F - 6000 => 7000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
369,31,No,Travel_Rarely,408,Research & Development,9,Master,Life Sciences,1,493,3,Male,42,2,Entry Level,Research Scientist,2,Single,2657,7551,0,Y,Yes,16,3,4,80,0,3,5,3,2,1,2,2,2,D - 400 => 500,D - 40 => 50,B - 2000 => 3000,G - 7000 => 8000,B - 2 => 3 Years,B - 2 => 3 Years,D - 31 => 40 Years,B - 2 => 3 Years
370,21,Yes,Travel_Rarely,156,Sales,12,Bachelor,Life Sciences,1,494,3,Female,90,4,Entry Level,Sales Representative,2,Single,2716,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0,0,A - 100 => 200,H - 80 => 90,B - 2000 => 3000,Y - 25000 => 26000,A - 0 => 1 Year,A - 0 => 1 Year,A - 18 => 21 Years,B - 2 => 3 Years
371,29,No,Travel_Rarely,1283,Research & Development,23,Bachelor,Life Sciences,1,495,4,Male,54,3,Entry Level,Research Scientist,4,Single,2201,18168,9,Y,No,16,3,4,80,0,6,4,3,3,3,2,1,2,L - 1200 => 1300,E - 50 => 60,B - 2000 => 3000,R - 18000 => 19000,D - 6 => 10 Years,B - 2 => 3 Years,C - 26 => 30 Years,B - 2 => 3 Years
372,35,No,Travel_Rarely,755,Research & Development,9,Master,Life Sciences,1,496,3,Male,97,2,Junior,Healthcare Representative,2,Single,6540,19394,9,Y,No,19,3,3,80,0,10,5,3,1,9,1,0,0,G - 700 => 800,I - 90 => 100,F - 6000 => 7000,S - 19000 => 20000,D - 6 => 10 Years,A - 0 => 1 Year,D - 31 => 40 Years,B - 2 => 3 Years
373,27,No,Travel_Rarely,1469,Research & Development,1,College,Medical,1,497,4,Male,82,3,Entry Level,Laboratory Technician,2,Divorced,3816,17881,1,Y,No,11,3,2,80,1,5,2,3,5,0,2,0,4,N - 1400 => 1500,H - 80 => 90,C - 3000 => 4000,Q - 17000 => 18000,C - 4 => 5 Years,C - 4 => 5 Years,C - 26 => 30 Years,B - 2 => 3 Years
374,28,No,Travel_Rarely,304,Sales,9,Master,Life Sciences,1,498,2,Male,92,3,Junior,Sales Executive,4,Single,5253,20750,1,Y,No,16,3,4,80,0,7,1,3,7,0,5,0,7,C - 300 => 400,I - 90 => 100,E - 5000 => 6000,T - 20000 => 21000,D - 6 => 10 Years,D - 6 => 10 Years,C - 26 => 30 Years,B - 2 => 3 Years
375,49,No,Travel_Rarely,1261,Research & Development,7,Bachelor,Other,1,499,2,Male,31,2,Mid-Level,Healthcare Representative,3,Single,10965,12066,8,Y,No,24,4,3,80,0,26,2,3,5,21,2,0,0,L - 1200 => 1300,C - 30 => 40,J - 10000 => 11000,L - 12000 => 13000,H - 25 => 30 Years,C - 4 => 5 Years,E - 41 => 50 Years,B - 2 => 3 Years
376,51,No,Travel_Rarely,1178,Sales,14,College,Life Sciences,1,500,3,Female,87,3,Junior,Sales Executive,4,Married,4936,14862,4,Y,No,11,3,3,80,1,18,2,2,7,11,7,0,7,K - 1100 => 1200,H - 80 => 90,D - 4000 => 5000,N - 14000 => 15000,F - 16 => 20 Years,D - 6 => 10 Years,F - 51 => 60 Years,B - 2 => 3 Years
377,36,No,Travel_Rarely,329,Research & Development,2,Bachelor,Life Sciences,1,501,4,Female,96,3,Entry Level,Research Scientist,3,Married,2543,11868,4,Y,No,13,3,2,80,1,6,3,3,2,4,2,2,2,C - 300 => 400,I - 90 => 100,B - 2000 => 3000,K - 11000 => 12000,D - 6 => 10 Years,B - 2 => 3 Years,D - 31 => 40 Years,B - 2 => 3 Years
378,34,Yes,Non-Travel,1362,Sales,19,Bachelor,Marketing,1,502,1,Male,67,4,Junior,Sales Executive,4,Single,5304,4652,8,Y,Yes,13,3,2,80,0,9,3,2,5,4,2,0,4,M - 1300 => 1400,F - 60 => 70,E - 5000 => 6000,D - 4000 => 5000,D - 6 => 10 Years,C - 4 => 5 Years,D - 31 => 40 Years,B - 2 => 3 Years
379,55,No,Travel_Rarely,1311,Research & Development,2,Bachelor,Life Sciences,1,505,3,Female,97,3,Senior,Manager,4,Single,16659,23258,2,Y,Yes,13,3,3,80,0,30,2,3,5,25,4,1,2,M - 1300 => 1400,I - 90 => 100,P - 16000 => 17000,W - 23000 => 24000,H - 25 => 30 Years,C - 4 => 5 Years,F - 51 => 60 Years,B - 2 => 3 Years
380,24,No,Travel_Rarely,1371,Sales,10,Master,Marketing,1,507,4,Female,77,3,Junior,Sales Executive,3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,0,2,0,3,M - 1300 => 1400,G - 70 => 80,D - 4000 => 5000,E - 5000 => 6000,C - 4 => 5 Years,C - 4 => 5 Years,B - 22 => 25 Years,B - 2 => 3 Years
381,30,No,Travel_Rarely,202,Sales,2,Below College ,Technical Degree,1,508,3,Male,72,3,Entry Level,Sales Representative,2,Married,2476,17434,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0,0,B - 200 => 300,G - 70 => 80,B - 2000 => 3000,Q - 17000 => 18000,A - 0 => 1 Year,A - 0 => 1 Year,C - 26 => 30 Years,B - 2 => 3 Years
382,26,Yes,Travel_Frequently,575,Research & Development,3,Below College ,Technical Degree,1,510,3,Male,73,3,Entry Level,Research Scientist,1,Single,3102,6582,0,Y,No,22,4,3,80,0,7,2,3,6,1,4,0,4,E - 500 => 600,G - 70 => 80,C - 3000 => 4000,F - 6000 => 7000,D - 6 => 10 Years,D - 6 => 10 Years,C - 26 => 30 Years,B - 2 => 3 Years
383,22,No,Travel_Rarely,253,Research & Development,11,Bachelor,Medical,1,511,1,Female,43,3,Entry Level,Research Scientist,2,Married,2244,24440,1,Y,No,13,3,4,80,1,2,1,3,2,0,1,1,2,B - 200 => 300,D - 40 => 50,B - 2000 => 3000,X - 24000 => 25000,B - 2 => 3 Years,B - 2 => 3 Years,B - 22 => 25 Years,B - 2 => 3 Years
384,36,No,Travel_Rarely,164,Sales,2,College,Medical,1,513,2,Male,61,2,Mid-Level,Sales Executive,3,Married,7596,3809,1,Y,No,13,3,2,80,2,10,2,3,10,0,9,9,0,A - 100 => 200,F - 60 => 70,G - 7000 => 8000,C - 3000 => 4000,D - 6 => 10 Years,D - 6 => 10 Years,D - 31 => 40 Years,B - 2 => 3 Years
385,30,Yes,Travel_Frequently,464,Research & Development,4,Bachelor,Technical Degree,1,514,3,Male,40,3,Entry Level,Research Scientist,4,Single,2285,3427,9,Y,Yes,23,4,3,80,0,3,4,3,1,2,0,0,0,D - 400 => 500,C - 30 => 40,B - 2000 => 3000,C - 3000 => 4000,B - 2 => 3 Years,A - 0 => 1 Year,C - 26 => 30 Years,B - 2 => 3 Years
386,37,No,Travel_Rarely,1107,Research & Development,14,Bachelor,Life Sciences,1,515,4,Female,95,3,Entry Level,Laboratory Technician,1,Divorced,3034,26914,1,Y,No,12,3,3,80,1,18,2,2,18,0,7,12,17,K - 1100 => 1200,I - 90 => 100,C - 3000 => 4000,Z - 26000 => 27000,F - 16 => 20 Years,F - 16 => 20 Years,D - 31 => 40 Years,B - 2 => 3 Years
387,40,No,Travel_Rarely,759,Sales,2,College,Marketing,1,516,4,Female,46,3,Junior,Sales Executive,2,Divorced,5715,22553,7,Y,No,12,3,3,80,2,8,5,3,5,3,4,1,3,G - 700 => 800,D - 40 => 50,E - 5000 => 6000,V - 22000 => 23000,D - 6 => 10 Years,C - 4 => 5 Years,D - 31 => 40 Years,B - 2 => 3 Years
388,42,No,Travel_Rarely,201,Research & Development,1,Master,Life Sciences,1,517,2,Female,95,3,Entry Level,Laboratory Technician,1,Divorced,2576,20490,3,Y,No,16,3,2,80,1,8,5,3,5,3,2,1,2,B - 200 => 300,I - 90 => 100,B - 2000 => 3000,T - 20000 => 21000,D - 6 => 10 Years,C - 4 => 5 Years,E - 41 => 50 Years,B - 2 => 3 Years
389,37,No,Travel_Rarely,1305,Research & Development,10,Master,Life Sciences,1,518,3,Male,49,3,Junior,Manufacturing Director,2,Single,4197,21123,2,Y,Yes,12,3,4,80,0,18,2,2,1,17,0,0,1,M - 1300 => 1400,D - 40 => 50,D - 4000 => 5000,U - 21000 => 22000,F - 16 => 20 Years,A - 0 => 1 Year,D - 31 => 40 Years,B - 2 => 3 Years
